binomial,genus,epithet,family,order,group,nb,nb_sources,nb_countries,nb_sites,wsg_est,wsg_est_trunk,wsg_est_branch,wsg_raw
Symplocos nakaharae,Symplocos,nakaharae,Symplocaceae,Ericales,Angiosperms,11,3,1,3,0.62,0.62,0.53,0.6
Symplocos sawafutagi,Symplocos,sawafutagi,Symplocaceae,Ericales,Angiosperms,5,2,1,2,0.62,0.63,0.54,0.6
Tilia maximowicziana,Tilia,maximowicziana,Malvaceae,Malvales,Angiosperms,5,2,1,2,0.4,0.4,0.4,0.35
Toxicodendron trichocarpum,Toxicodendron,trichocarpum,Anacardiaceae,Sapindales,Angiosperms,6,2,1,2,0.5,0.5,0.52,0.46
Tsuga diversifolia,Tsuga,diversifolia,Pinaceae,Pinales,Gymnosperms,1,1,1,1,0.48,0.48,0.51,0.49
Vernicia cordata,Vernicia,cordata,Euphorbiaceae,Malpighiales,Angiosperms,6,2,1,2,0.46,0.47,0.47,0.43
Viburnum furcatum,Viburnum,furcatum,Viburnaceae,Dipsacales,Angiosperms,1,1,1,1,0.62,0.62,0.58,0.59
Viburnum odoratissimum,Viburnum,odoratissimum,Viburnaceae,Dipsacales,Angiosperms,6,2,1,2,0.5,0.5,0.52,0.44
Viburnum plicatum,Viburnum,plicatum,Viburnaceae,Dipsacales,Angiosperms,6,2,1,2,0.66,0.66,0.59,0.62
Viburnum sieboldii,Viburnum,sieboldii,Viburnaceae,Dipsacales,Angiosperms,6,2,1,2,0.61,0.62,0.57,0.57
Zanthoxylum ailanthoides,Zanthoxylum,ailanthoides,Rutaceae,Sapindales,Angiosperms,6,2,1,2,0.45,0.45,0.5,0.42
Juniperus occidentalis,Juniperus,occidentalis,Cupressaceae,Cupressales,Gymnosperms,3,3,1,3,0.52,0.5,0.57,0.53
Abies guatemalensis,Abies,guatemalensis,Pinaceae,Pinales,Gymnosperms,1,1,1,1,0.42,0.42,0.48,0.41
Vachellia collinsii,Vachellia,collinsii,Fabaceae,Fabales,Angiosperms,1,1,1,1,0.76,0.77,0.68,0.77
Annona fraxinifolium,Annona,fraxinifolium,Annonaceae,Magnoliales,Angiosperms,1,1,1,1,0.53,0.53,0.48,0.55
Apeiba albiflora,Apeiba,albiflora,Malvaceae,Malvales,Angiosperms,1,1,1,1,0.31,0.3,0.38,0.26
Avicennia bicolor,Avicennia,bicolor,Acanthaceae,Lamiales,Angiosperms,1,1,1,1,0.64,0.64,0.59,0.61
Brunellia costaricensis,Brunellia,costaricensis,Brunelliaceae,Oxalidales,Angiosperms,2,2,2,2,0.35,0.35,0.4,0.32
Buddleja nitida,Buddleja,nitida,Scrophulariaceae,Lamiales,Angiosperms,1,1,1,1,0.54,0.54,0.54,0.5
Cenostigma eriostachys,Cenostigma,eriostachys,Fabaceae,Fabales,Angiosperms,7,6,2,6,0.75,0.76,0.7,0.77
Cleyera theoides,Cleyera,theoides,Pentaphylacaceae,Ericales,Angiosperms,1,1,1,1,0.61,0.62,0.59,0.6
Coccoloba caracasana,Coccoloba,caracasana,Polygonaceae,Caryophyllales,Angiosperms,1,1,1,1,0.54,0.54,0.56,0.41
Cordia dentata,Cordia,dentata,Boraginaceae,Boraginales,Angiosperms,3,3,2,3,0.46,0.46,0.49,0.45
Lonchocarpus costaricensis,Lonchocarpus,costaricensis,Fabaceae,Fabales,Angiosperms,1,1,1,1,0.68,0.68,0.61,0.61
Magnolia poasana,Magnolia,poasana,Magnoliaceae,Magnoliales,Angiosperms,1,1,1,1,0.47,0.47,0.49,0.43
Ocotea austinii,Ocotea,austinii,Lauraceae,Laurales,Angiosperms,1,1,1,1,0.51,0.51,0.54,0.46
Persea schiedeana,Persea,schiedeana,Lauraceae,Laurales,Angiosperms,1,1,1,1,0.52,0.52,0.52,0.48
Persea vesticula,Persea,vesticula,Lauraceae,Laurales,Angiosperms,1,1,1,1,0.53,0.53,0.52,0.51
Pectinopitys standleyi,Pectinopitys,standleyi,Podocarpaceae,Cupressales,Gymnosperms,1,1,1,1,0.55,0.55,0.57,0.53
Quercus costaricensis,Quercus,costaricensis,Fagaceae,Fagales,Angiosperms,2,2,2,2,0.65,0.65,0.65,0.6
Quercus salicifolia,Quercus,salicifolia,Fagaceae,Fagales,Angiosperms,2,2,2,2,0.71,0.71,0.68,0.66
Sapium macrocarpum,Sapium,macrocarpum,Euphorbiaceae,Malpighiales,Angiosperms,4,4,3,4,0.42,0.42,0.45,0.42
Sapranthus palanga,Sapranthus,palanga,Annonaceae,Magnoliales,Angiosperms,2,2,1,2,0.61,0.62,0.57,0.63
Sciodaphyllum pittieri,Sciodaphyllum,pittieri,Araliaceae,Apiales,Angiosperms,2,2,2,2,0.44,0.45,0.47,0.42
Spondias purpurea,Spondias,purpurea,Anacardiaceae,Sapindales,Angiosperms,5,5,2,5,0.35,0.34,0.4,0.36
Tabernaemontana glabra,Tabernaemontana,glabra,Apocynaceae,Gentianales,Angiosperms,2,2,1,2,0.5,0.5,0.5,0.5
Thouinidium decandrum,Thouinidium,decandrum,Sapindaceae,Sapindales,Angiosperms,4,4,2,4,0.73,0.73,0.66,0.74
Trichilia americana,Trichilia,americana,Meliaceae,Sapindales,Angiosperms,2,2,1,2,0.59,0.59,0.6,0.58
Ulmus mexicana,Ulmus,mexicana,Ulmaceae,Rosales,Angiosperms,2,2,2,2,0.6,0.61,0.58,0.58
Vantanea barbourii,Vantanea,barbourii,Humiriaceae,Malpighiales,Angiosperms,1,1,1,1,0.74,0.74,0.68,0.67
Weinmannia wercklei,Weinmannia,wercklei,Cunoniaceae,Oxalidales,Angiosperms,1,1,1,1,0.53,0.53,0.53,0.47
Xylopia sericophylla,Xylopia,sericophylla,Annonaceae,Magnoliales,Angiosperms,32,3,1,5,0.57,0.56,0.55,0.53
Agathis australis,Agathis,australis,Araucariaceae,Cupressales,Gymnosperms,22,3,2,3,0.51,0.51,0.52,0.51
Agathis ovata,Agathis,ovata,Araucariaceae,Cupressales,Gymnosperms,1,1,1,1,0.47,0.46,0.5,0.56
Dacrydium cupressinum,Dacrydium,cupressinum,Podocarpaceae,Cupressales,Gymnosperms,9,3,2,3,0.52,0.52,0.56,0.52
Phyllocladus trichomanoides,Phyllocladus,trichomanoides,Podocarpaceae,Cupressales,Gymnosperms,25,5,2,5,0.59,0.59,0.61,0.58
Pinus monophylla,Pinus,monophylla,Pinaceae,Pinales,Gymnosperms,2,2,1,2,0.49,0.48,0.5,0.53
Podocarpus laetus,Podocarpus,laetus,Podocarpaceae,Cupressales,Gymnosperms,2,2,2,2,0.49,0.49,0.52,0.51
Pectinopitys ferruginea,Pectinopitys,ferruginea,Podocarpaceae,Cupressales,Gymnosperms,3,3,2,3,0.55,0.53,0.6,0.57
Retrophyllum minus,Retrophyllum,minus,Podocarpaceae,Cupressales,Gymnosperms,1,1,1,1,0.38,0.41,0.42,0.39
Heberdenia excelsa,Heberdenia,excelsa,Primulaceae,Ericales,Angiosperms,2,2,1,2,0.64,0.64,0.6,0.64
Ilex canariensis,Ilex,canariensis,Aquifoliaceae,Aquifoliales,Angiosperms,2,2,1,2,0.65,0.66,0.59,0.69
Ilex perado,Ilex,perado,Aquifoliaceae,Aquifoliales,Angiosperms,2,2,1,2,0.55,0.55,0.54,0.54
Juniperus cedrus,Juniperus,cedrus,Cupressaceae,Cupressales,Gymnosperms,1,1,1,1,0.52,0.52,0.57,0.48
Juniperus phoenicea,Juniperus,phoenicea,Cupressaceae,Cupressales,Gymnosperms,3,3,2,3,0.6,0.6,0.6,0.57
Klainedoxa latifolia,Klainedoxa,latifolia,Irvingiaceae,Malpighiales,Angiosperms,1,1,1,1,0.88,0.88,0.77,0.91
Laurus novocanariensis,Laurus,novocanariensis,Lauraceae,Laurales,Angiosperms,2,2,1,2,0.54,0.54,0.54,0.54
Myrica faya,Myrica,faya,Myricaceae,Fagales,Angiosperms,2,2,1,2,0.63,0.63,0.59,0.65
Pleiomeris canariensis,Pleiomeris,canariensis,Primulaceae,Ericales,Angiosperms,1,1,1,1,0.71,0.72,0.65,0.75
Persea indica,Persea,indica,Lauraceae,Laurales,Angiosperms,2,2,1,2,0.47,0.47,0.5,0.45
Pinus canariensis,Pinus,canariensis,Pinaceae,Pinales,Gymnosperms,2,2,2,2,0.53,0.53,0.5,0.55
Prunus lusitanica,Prunus,lusitanica,Rosaceae,Rosales,Angiosperms,2,2,1,2,0.59,0.59,0.59,0.58
Quercus lusitanica,Quercus,lusitanica,Fagaceae,Fagales,Angiosperms,1,1,1,1,0.71,0.71,0.68,0.7
Rhamnus glandulosa,Rhamnus,glandulosa,Rhamnaceae,Rosales,Angiosperms,2,2,1,2,0.62,0.62,0.61,0.6
Abies sibirica,Abies,sibirica,Pinaceae,Pinales,Gymnosperms,41,3,1,3,0.39,0.38,0.47,0.37
Picea obovata,Picea,obovata,Pinaceae,Pinales,Gymnosperms,195,4,1,4,0.42,0.42,0.5,0.42
Abies spectabilis,Abies,spectabilis,Pinaceae,Pinales,Gymnosperms,1,1,1,1,0.37,0.37,0.46,0.32
Acer buergerianum,Acer,buergerianum,Sapindaceae,Sapindales,Angiosperms,2,2,1,2,0.61,0.61,0.55,0.62
Acer sterculiaceum,Acer,sterculiaceum,Sapindaceae,Sapindales,Angiosperms,2,2,2,2,0.45,0.45,0.48,0.38
