binomial,genus,epithet,family,order,group,nb,nb_sources,nb_countries,nb_sites,wsg_est,wsg_est_trunk,wsg_est_branch,wsg_raw
Guaiacum coulteri,Guaiacum,coulteri,Zygophyllaceae,Zygophyllales,Angiosperms,2,2,1,2,1,1.01,0.85,1.02
Guaiacum officinale,Guaiacum,officinale,Zygophyllaceae,Zygophyllales,Angiosperms,6,4,4,4,1.04,1.04,0.87,1.07
Guaiacum sanctum,Guaiacum,sanctum,Zygophyllaceae,Zygophyllales,Angiosperms,4,3,3,4,1.04,1.04,0.87,1.06
Guapira eggersiana,Guapira,eggersiana,Nyctaginaceae,Caryophyllales,Angiosperms,4,2,2,3,0.58,0.58,0.54,0.61
Guapira fragrans,Guapira,fragrans,Nyctaginaceae,Caryophyllales,Angiosperms,1,1,1,1,0.5,0.5,0.51,0.48
Guapira rotundata,Guapira,rotundata,Nyctaginaceae,Caryophyllales,Angiosperms,1,1,1,1,0.5,0.49,0.5,0.46
Guapira salicifolia,Guapira,salicifolia,Nyctaginaceae,Caryophyllales,Angiosperms,1,1,1,1,0.61,0.62,0.56,0.71
Guarea humaitensis,Guarea,humaitensis,Meliaceae,Sapindales,Angiosperms,4,3,2,3,0.64,0.64,0.59,0.64
Leplaea laurentii,Leplaea,laurentii,Meliaceae,Sapindales,Angiosperms,23,4,3,5,0.56,0.56,0.55,0.56
Guarea megantha,Guarea,megantha,Meliaceae,Sapindales,Angiosperms,1,1,1,1,0.54,0.54,0.55,0.41
Guarea pterorhachis,Guarea,pterorhachis,Meliaceae,Sapindales,Angiosperms,7,2,3,3,0.69,0.69,0.62,0.69
Guarea pubescens,Guarea,pubescens,Meliaceae,Sapindales,Angiosperms,6,5,5,6,0.61,0.61,0.58,0.58
Guatteria caribaea,Guatteria,caribaea,Annonaceae,Magnoliales,Angiosperms,4,3,2,3,0.55,0.55,0.51,0.57
Guatteria hirsuta,Guatteria,hirsuta,Annonaceae,Magnoliales,Angiosperms,2,1,2,2,0.48,0.48,0.48,0.45
Guatteria modesta,Guatteria,modesta,Annonaceae,Magnoliales,Angiosperms,4,2,3,3,0.48,0.48,0.48,0.47
Guatteria guianensis,Guatteria,guianensis,Annonaceae,Magnoliales,Angiosperms,2,2,2,2,0.54,0.55,0.51,0.57
Guatteria richardii,Guatteria,richardii,Annonaceae,Magnoliales,Angiosperms,1,1,1,1,0.58,0.59,0.52,0.66
Guettarda combsii,Guettarda,combsii,Rubiaceae,Gentianales,Angiosperms,2,2,1,2,0.58,0.58,0.58,0.55
Tournefortiopsis crispiflora,Tournefortiopsis,crispiflora,Rubiaceae,Gentianales,Angiosperms,7,3,3,3,0.48,0.48,0.51,0.45
Guettarda elliptica,Guettarda,elliptica,Rubiaceae,Gentianales,Angiosperms,5,5,4,5,0.69,0.7,0.63,0.75
Guettarda odorata,Guettarda,odorata,Rubiaceae,Gentianales,Angiosperms,1,1,1,1,0.69,0.7,0.63,0.75
Guettarda scabra,Guettarda,scabra,Rubiaceae,Gentianales,Angiosperms,4,3,3,4,0.66,0.67,0.62,0.69
Guettarda speciosa,Guettarda,speciosa,Rubiaceae,Gentianales,Angiosperms,15,4,6,6,0.54,0.54,0.56,0.51
Gevuina avellana,Gevuina,avellana,Proteaceae,Proteales,Angiosperms,2,1,1,1,0.56,0.56,0.56,0.52
Guibourtia coleosperma,Guibourtia,coleosperma,Fabaceae,Fabales,Angiosperms,7,5,5,7,0.71,0.72,0.67,0.7
Guibourtia conjugata,Guibourtia,conjugata,Fabaceae,Fabales,Angiosperms,5,3,2,4,0.85,0.85,0.73,0.86
Guibourtia copallifera,Guibourtia,copallifera,Fabaceae,Fabales,Angiosperms,2,1,2,2,0.88,0.88,0.75,0.91
Guibourtia leonensis,Guibourtia,leonensis,Fabaceae,Fabales,Angiosperms,2,1,2,2,0.81,0.81,0.71,0.81
Guiera senegalensis,Guiera,senegalensis,Combretaceae,Myrtales,Angiosperms,8,2,3,7,0.66,0.66,0.62,0.67
Guioa semiglauca,Guioa,semiglauca,Sapindaceae,Sapindales,Angiosperms,1,1,1,1,0.7,0.7,0.66,0.79
Gustavia augusta,Gustavia,augusta,Lecythidaceae,Ericales,Angiosperms,14,8,4,10,0.6,0.6,0.61,0.6
Gustavia macarenensis,Gustavia,macarenensis,Lecythidaceae,Ericales,Angiosperms,2,2,1,2,0.66,0.66,0.63,0.66
Gyminda latifolia,Gyminda,latifolia,Celastraceae,Celastrales,Angiosperms,1,1,1,1,0.79,0.79,0.7,0.84
Gymnanthes lucida,Gymnanthes,lucida,Euphorbiaceae,Malpighiales,Angiosperms,3,3,3,3,0.9,0.91,0.74,0.97
Gymnocladus chinensis,Gymnocladus,chinensis,Fabaceae,Fabales,Angiosperms,2,2,1,2,0.59,0.59,0.58,0.57
Gymnocladus dioica,Gymnocladus,dioica,Fabaceae,Fabales,Angiosperms,4,1,2,2,0.57,0.57,0.57,0.54
Gymnopodium floribundum,Gymnopodium,floribundum,Polygonaceae,Caryophyllales,Angiosperms,2,2,1,2,0.64,0.65,0.6,0.7
Gymnosporia linearis,Gymnosporia,linearis,Celastraceae,Celastrales,Angiosperms,2,1,1,1,0.58,0.58,0.57,0.6
Gymnosporia senegalensis,Gymnosporia,senegalensis,Celastraceae,Celastrales,Angiosperms,5,4,5,5,0.55,0.55,0.56,0.55
Gymnostoma deplancheanum,Gymnostoma,deplancheanum,Casuarinaceae,Fagales,Angiosperms,2,2,1,2,0.82,0.82,0.75,0.79
Gymnostoma nobile,Gymnostoma,nobile,Casuarinaceae,Fagales,Angiosperms,1,1,1,1,0.93,0.93,0.8,0.93
Gynocardia odorata,Gynocardia,odorata,Achariaceae,Malpighiales,Angiosperms,2,2,1,2,0.53,0.53,0.54,0.5
Gyranthera caribensis,Gyranthera,caribensis,Malvaceae,Malvales,Angiosperms,1,1,1,1,0.4,0.4,0.44,0.36
Haematodendron glabrum,Haematodendron,glabrum,Myristicaceae,Magnoliales,Angiosperms,2,1,1,1,0.37,0.37,0.43,0.36
Haematostaphis barteri,Haematostaphis,barteri,Anacardiaceae,Sapindales,Angiosperms,1,1,1,1,0.6,0.6,0.57,0.6
Haematoxylum campechianum,Haematoxylum,campechianum,Fabaceae,Fabales,Angiosperms,8,5,6,6,0.81,0.81,0.71,0.84
Haenianthus salicifolius,Haenianthus,salicifolius,Oleaceae,Lamiales,Angiosperms,1,1,1,1,0.79,0.79,0.7,0.84
Hagenia abyssinica,Hagenia,abyssinica,Rosaceae,Rosales,Angiosperms,4,2,2,2,0.56,0.56,0.56,0.53
Adina cordifolia,Adina,cordifolia,Rubiaceae,Gentianales,Angiosperms,20,10,7,14,0.55,0.55,0.56,0.55
Halesia carolina,Halesia,carolina,Styracaceae,Ericales,Angiosperms,3,3,1,3,0.47,0.47,0.48,0.45
Perkinsiodendron macgregorii,Perkinsiodendron,macgregorii,Styracaceae,Ericales,Angiosperms,1,1,1,1,0.49,0.49,0.49,0.46
Hancea capuronii,Hancea,capuronii,Euphorbiaceae,Malpighiales,Angiosperms,4,3,1,3,0.72,0.72,0.63,0.79
Hancea integrifolia,Hancea,integrifolia,Euphorbiaceae,Malpighiales,Angiosperms,5,2,2,3,0.57,0.57,0.56,0.55
Handroanthus billbergii,Handroanthus,billbergii,Bignoniaceae,Lamiales,Angiosperms,5,3,2,3,0.84,0.85,0.69,0.85
Handroanthus capitatus,Handroanthus,capitatus,Bignoniaceae,Lamiales,Angiosperms,7,2,3,4,0.85,0.87,0.71,0.87
Handroanthus chrysanthus,Handroanthus,chrysanthus,Bignoniaceae,Lamiales,Angiosperms,19,10,6,13,0.83,0.84,0.67,0.83
Handroanthus guayacan,Handroanthus,guayacan,Bignoniaceae,Lamiales,Angiosperms,10,4,4,4,0.83,0.83,0.68,0.82
Handroanthus pedicellatus,Handroanthus,pedicellatus,Bignoniaceae,Lamiales,Angiosperms,1,1,1,1,0.74,0.75,0.64,0.73
Hardwickia binata,Hardwickia,binata,Fabaceae,Fabales,Angiosperms,13,5,3,9,0.75,0.75,0.68,0.76
Harpullia austrocaledonica,Harpullia,austrocaledonica,Sapindaceae,Sapindales,Angiosperms,2,2,1,2,0.67,0.67,0.62,0.72
Harrisonia abyssinica,Harrisonia,abyssinica,Rutaceae,Sapindales,Angiosperms,2,2,1,2,0.75,0.76,0.68,0.76
Harungana madagascariensis,Harungana,madagascariensis,Hypericaceae,Malpighiales,Angiosperms,75,8,9,13,0.42,0.42,0.45,0.43
Clusia colombiana,Clusia,colombiana,Clusiaceae,Malpighiales,Angiosperms,1,1,1,1,0.6,0.6,0.61,0.59
Hebepetalum humiriifolium,Hebepetalum,humiriifolium,Linaceae,Malpighiales,Angiosperms,14,4,4,5,0.78,0.79,0.69,0.79
Hedera helix,Hedera,helix,Araliaceae,Apiales,Angiosperms,4,3,3,3,0.48,0.47,0.48,0.42
Hedyosmum arborescens,Hedyosmum,arborescens,Chloranthaceae,Chloranthales,Angiosperms,1,1,1,1,0.39,0.39,0.43,0.35
Hedyosmum goudotianum,Hedyosmum,goudotianum,Chloranthaceae,Chloranthales,Angiosperms,1,1,1,1,0.44,0.44,0.46,0.43
Heinsia crinita,Heinsia,crinita,Rubiaceae,Gentianales,Angiosperms,7,2,4,4,0.51,0.51,0.53,0.48
Heisteria densifrons,Heisteria,densifrons,Olacaceae,Santalales,Angiosperms,2,2,1,2,0.72,0.72,0.68,0.72
Heisteria parvifolia,Heisteria,parvifolia,Olacaceae,Santalales,Angiosperms,8,2,3,4,0.74,0.74,0.69,0.72
Heisteria spruceana,Heisteria,spruceana,Olacaceae,Santalales,Angiosperms,3,2,3,3,0.74,0.74,0.69,0.71
Heisteria trillesiana,Heisteria,trillesiana,Olacaceae,Santalales,Angiosperms,1,1,1,1,0.74,0.74,0.69,0.75
Heisteria zimmereri,Heisteria,zimmereri,Olacaceae,Santalales,Angiosperms,10,2,3,4,0.67,0.68,0.66,0.67
Helicia cochinchinensis,Helicia,cochinchinensis,Proteaceae,Proteales,Angiosperms,10,6,3,6,0.59,0.59,0.58,0.57
Helicia nilagirica,Helicia,nilagirica,Proteaceae,Proteales,Angiosperms,5,4,2,4,0.61,0.62,0.59,0.61
Heliciopsis lobata,Heliciopsis,lobata,Proteaceae,Proteales,Angiosperms,3,3,2,3,0.47,0.47,0.51,0.44
Helicostylis elegans,Helicostylis,elegans,Moraceae,Rosales,Angiosperms,2,1,1,1,0.57,0.57,0.51,0.56
Helicostylis pedunculata,Helicostylis,pedunculata,Moraceae,Rosales,Angiosperms,10,4,2,5,0.57,0.61,0.47,0.57
Helicostylis scabra,Helicostylis,scabra,Moraceae,Rosales,Angiosperms,5,5,4,5,0.64,0.66,0.56,0.67
Helietta parvifolia,Helietta,parvifolia,Rutaceae,Sapindales,Angiosperms,3,3,2,3,0.74,0.75,0.69,0.74
Helietta plaeana,Helietta,plaeana,Rutaceae,Sapindales,Angiosperms,1,1,1,1,0.85,0.86,0.74,0.93
Heliocarpus appendiculatus,Heliocarpus,appendiculatus,Malvaceae,Malvales,Angiosperms,4,4,4,4,0.22,0.22,0.33,0.16
Heliocarpus donnellsmithii,Heliocarpus,donnellsmithii,Malvaceae,Malvales,Angiosperms,3,2,3,3,0.2,0.2,0.32,0.16
Tournefortia gnaphalodes,Tournefortia,gnaphalodes,Boraginaceae,Boraginales,Angiosperms,1,1,1,1,0.48,0.48,0.5,0.46
Euploca ovalifolia,Euploca,ovalifolia,Boraginaceae,Boraginales,Angiosperms,1,1,1,1,0.32,0.32,0.4,0.23
Helmiopsiella madagascariensis,Helmiopsiella,madagascariensis,Malvaceae,Malvales,Angiosperms,2,1,1,1,0.68,0.68,0.61,0.72
Helmiopsis hily,Helmiopsis,hily,Malvaceae,Malvales,Angiosperms,2,1,1,1,0.74,0.75,0.66,0.78
Helmiopsis pseudopopulus,Helmiopsis,pseudopopulus,Malvaceae,Malvales,Angiosperms,1,1,1,1,0.75,0.75,0.66,0.82
Hemandradenia chevalieri,Hemandradenia,chevalieri,Connaraceae,Oxalidales,Angiosperms,1,1,1,1,0.51,0.51,0.52,0.46
Hemandradenia mannii,Hemandradenia,mannii,Connaraceae,Oxalidales,Angiosperms,1,1,1,1,0.52,0.52,0.52,0.49
Hemiptelea davidii,Hemiptelea,davidii,Ulmaceae,Rosales,Angiosperms,1,1,1,1,0.6,0.6,0.58,0.56
Hennecartia omphalandra,Hennecartia,omphalandra,Monimiaceae,Laurales,Angiosperms,2,2,2,2,0.57,0.57,0.55,0.58
Henonia scoparia,Henonia,scoparia,Amaranthaceae,Caryophyllales,Angiosperms,1,1,1,1,0.46,0.46,0.51,0.41
Henriettea multiflora,Henriettea,multiflora,Melastomataceae,Myrtales,Angiosperms,1,1,1,1,0.63,0.63,0.61,0.66
Henriettea squamulosa,Henriettea,squamulosa,Melastomataceae,Myrtales,Angiosperms,2,2,1,2,0.67,0.67,0.63,0.72
Henriettea tuberculosa,Henriettea,tuberculosa,Melastomataceae,Myrtales,Angiosperms,1,1,1,1,0.58,0.58,0.59,0.55
Henriettea verrucosa,Henriettea,verrucosa,Melastomataceae,Myrtales,Angiosperms,1,1,1,1,0.5,0.5,0.55,0.36
Heritiera macrophylla,Heritiera,macrophylla,Malvaceae,Malvales,Angiosperms,2,2,2,2,0.68,0.69,0.62,0.66
Heritiera sylvatica,Heritiera,sylvatica,Malvaceae,Malvales,Angiosperms,3,3,2,3,0.72,0.72,0.63,0.72
Hernandia guianensis,Hernandia,guianensis,Hernandiaceae,Laurales,Angiosperms,7,3,5,6,0.24,0.25,0.33,0.25
Hernandia nymphaeifolia,Hernandia,nymphaeifolia,Hernandiaceae,Laurales,Angiosperms,11,4,5,5,0.32,0.32,0.36,0.28
Heteromeles arbutifolia,Heteromeles,arbutifolia,Rosaceae,Rosales,Angiosperms,6,6,1,6,0.67,0.69,0.62,0.66
Heterophragma quadriloculare,Heterophragma,quadriloculare,Bignoniaceae,Lamiales,Angiosperms,2,2,2,2,0.5,0.5,0.51,0.49
Hevea microphylla,Hevea,microphylla,Euphorbiaceae,Malpighiales,Angiosperms,2,2,2,2,0.47,0.47,0.5,0.46
Hexalobus monopetalus,Hexalobus,monopetalus,Annonaceae,Magnoliales,Angiosperms,6,3,5,5,0.58,0.58,0.55,0.58
Hexalobus salicifolius,Hexalobus,salicifolius,Annonaceae,Magnoliales,Angiosperms,1,1,1,1,0.52,0.52,0.52,0.49
Heywoodia lucens,Heywoodia,lucens,Phyllanthaceae,Malpighiales,Angiosperms,3,3,2,3,0.72,0.72,0.65,0.75
Hibbertia lucens,Hibbertia,lucens,Dilleniaceae,Dilleniales,Angiosperms,2,2,1,2,0.52,0.52,0.54,0.54
Hibiscus bojerianus,Hibiscus,bojerianus,Malvaceae,Malvales,Angiosperms,2,1,1,1,0.64,0.65,0.55,0.76
Bombycidendron campylosiphon,Bombycidendron,campylosiphon,Malvaceae,Malvales,Angiosperms,2,2,2,2,0.51,0.51,0.51,0.5
Hibiscus chloroclados,Hibiscus,chloroclados,Malvaceae,Malvales,Angiosperms,1,1,1,1,0.45,0.45,0.46,0.46
Hibiscus liliiflorus,Hibiscus,liliiflorus,Malvaceae,Malvales,Angiosperms,1,1,1,1,0.43,0.44,0.46,0.43
Hibiscus macrophyllus,Hibiscus,macrophyllus,Malvaceae,Malvales,Angiosperms,3,3,3,3,0.42,0.42,0.45,0.4
Hibiscus mandrarensis,Hibiscus,mandrarensis,Malvaceae,Malvales,Angiosperms,5,1,1,1,0.35,0.35,0.42,0.35
Hibiscus mangindranensis,Hibiscus,mangindranensis,Malvaceae,Malvales,Angiosperms,1,1,1,1,0.34,0.34,0.41,0.28
Hibiscus palmatifidus,Hibiscus,palmatifidus,Malvaceae,Malvales,Angiosperms,1,1,1,1,0.42,0.42,0.45,0.43
Hibiscus rosa-sinensis,Hibiscus,rosa-sinensis,Malvaceae,Malvales,Angiosperms,1,1,1,1,0.36,0.36,0.42,0.28
Hibiscus tulipiflorus,Hibiscus,tulipiflorus,Malvaceae,Malvales,Angiosperms,1,1,1,1,0.43,0.43,0.45,0.43
Hieronyma asperifolia,Hieronyma,asperifolia,Phyllanthaceae,Malpighiales,Angiosperms,4,2,1,2,0.59,0.59,0.56,0.57
Hildegardia erythrosiphon,Hildegardia,erythrosiphon,Malvaceae,Malvales,Angiosperms,2,1,1,1,0.24,0.24,0.34,0.22
Hildegardia perrieri,Hildegardia,perrieri,Malvaceae,Malvales,Angiosperms,6,1,1,1,0.26,0.27,0.36,0.27
Bourreria capuronii,Bourreria,capuronii,Boraginaceae,Boraginales,Angiosperms,1,1,1,1,0.64,0.65,0.61,0.65
Bourreria comorensis,Bourreria,comorensis,Boraginaceae,Boraginales,Angiosperms,1,1,1,1,0.64,0.64,0.6,0.65
Himatanthus fallax,Himatanthus,fallax,Apocynaceae,Gentianales,Angiosperms,1,1,1,1,0.55,0.55,0.49,0.58
Himatanthus sucuuba,Himatanthus,sucuuba,Apocynaceae,Gentianales,Angiosperms,6,3,3,5,0.49,0.49,0.47,0.47
Himatanthus tarapotensis,Himatanthus,tarapotensis,Apocynaceae,Gentianales,Angiosperms,2,1,2,2,0.47,0.47,0.46,0.44
Hippomane mancinella,Hippomane,mancinella,Euphorbiaceae,Malpighiales,Angiosperms,4,3,3,4,0.5,0.5,0.51,0.52
Hirtella bicornis,Hirtella,bicornis,Chrysobalanaceae,Malpighiales,Angiosperms,10,4,3,5,0.77,0.78,0.71,0.78
Hirtella pendula,Hirtella,pendula,Chrysobalanaceae,Malpighiales,Angiosperms,1,1,1,1,0.78,0.79,0.71,0.81
Hirtella pilosissima,Hirtella,pilosissima,Chrysobalanaceae,Malpighiales,Angiosperms,1,1,1,1,0.79,0.8,0.71,0.8
Hirtella suffulta,Hirtella,suffulta,Chrysobalanaceae,Malpighiales,Angiosperms,3,2,1,2,0.79,0.81,0.72,0.8
Hirtella zanzibarica,Hirtella,zanzibarica,Chrysobalanaceae,Malpighiales,Angiosperms,4,1,1,1,0.77,0.77,0.7,0.78
Hodgkinsonia ovatifolia,Hodgkinsonia,ovatifolia,unknown_7,"","",1,1,1,1,0.69,0.69,0.63,0.71
Holarrhena floribunda,Holarrhena,floribunda,Apocynaceae,Gentianales,Angiosperms,9,4,7,7,0.46,0.46,0.49,0.45
Holoptelea integrifolia,Holoptelea,integrifolia,Ulmaceae,Rosales,Angiosperms,12,7,3,10,0.57,0.57,0.56,0.58
Homalanthus arfakiensis,Homalanthus,arfakiensis,Euphorbiaceae,Malpighiales,Angiosperms,1,1,1,1,0.36,0.36,0.36,0.3
Homalium abdessammadii,Homalium,abdessammadii,Salicaceae,Malpighiales,Angiosperms,2,2,2,2,0.73,0.73,0.69,0.72
Homalium africanum,Homalium,africanum,Salicaceae,Malpighiales,Angiosperms,13,2,5,6,0.65,0.65,0.66,0.62
Homalium albiflorum,Homalium,albiflorum,Salicaceae,Malpighiales,Angiosperms,4,1,1,1,0.68,0.68,0.67,0.69
Homalium angustifolium,Homalium,angustifolium,Salicaceae,Malpighiales,Angiosperms,1,1,1,1,0.75,0.75,0.7,0.76
Homalium axillare,Homalium,axillare,Salicaceae,Malpighiales,Angiosperms,2,2,1,2,0.74,0.74,0.7,0.76
Homalium brevidens,Homalium,brevidens,Salicaceae,Malpighiales,Angiosperms,2,2,1,2,0.77,0.78,0.71,0.8
Homalium ceylanicum,Homalium,ceylanicum,Salicaceae,Malpighiales,Angiosperms,5,3,2,4,0.74,0.74,0.7,0.73
Homalium cochinchinensis,Homalium,cochinchinensis,Salicaceae,Malpighiales,Angiosperms,1,1,1,1,0.73,0.73,0.69,0.71
Homalium dewevrei,Homalium,dewevrei,Salicaceae,Malpighiales,Angiosperms,3,2,2,2,0.79,0.8,0.72,0.81
Homalium foetidum,Homalium,foetidum,Salicaceae,Malpighiales,Angiosperms,4,4,3,4,0.77,0.77,0.71,0.76
Homalium grandiflorum,Homalium,grandiflorum,Salicaceae,Malpighiales,Angiosperms,2,2,2,2,0.74,0.75,0.7,0.74
Homalium guianense,Homalium,guianense,Salicaceae,Malpighiales,Angiosperms,1,1,1,1,0.64,0.64,0.65,0.6
Homalium guillainii,Homalium,guillainii,Salicaceae,Malpighiales,Angiosperms,2,2,1,2,0.75,0.75,0.7,0.82
Homalium involucratum,Homalium,involucratum,Salicaceae,Malpighiales,Angiosperms,1,1,1,1,0.75,0.76,0.7,0.81
Homalium laxiflorum,Homalium,laxiflorum,Salicaceae,Malpighiales,Angiosperms,1,1,1,1,0.76,0.77,0.71,0.83
Homalium longistylum,Homalium,longistylum,Salicaceae,Malpighiales,Angiosperms,11,2,6,6,0.72,0.72,0.69,0.7
Homalium micranthum,Homalium,micranthum,Salicaceae,Malpighiales,Angiosperms,1,1,1,1,0.74,0.75,0.7,0.79
Homalium moniliforme,Homalium,moniliforme,Salicaceae,Malpighiales,Angiosperms,1,1,1,1,0.74,0.75,0.7,0.79
Homalium nudiflorum,Homalium,nudiflorum,Salicaceae,Malpighiales,Angiosperms,1,1,1,1,0.76,0.77,0.71,0.83
Homalium oppositifolium,Homalium,oppositifolium,Salicaceae,Malpighiales,Angiosperms,2,1,1,1,0.6,0.6,0.63,0.56
Homalium paniculatum,Homalium,paniculatum,Salicaceae,Malpighiales,Angiosperms,6,2,1,2,0.65,0.65,0.66,0.63
Homalium parkeri,Homalium,parkeri,Salicaceae,Malpighiales,Angiosperms,2,2,1,2,0.65,0.65,0.66,0.63
Homalium planiflorum,Homalium,planiflorum,Salicaceae,Malpighiales,Angiosperms,1,1,1,1,0.79,0.79,0.72,0.87
Homalium rufescens,Homalium,rufescens,Salicaceae,Malpighiales,Angiosperms,1,1,1,1,0.63,0.63,0.65,0.56
Homalium smythei,Homalium,smythei,Salicaceae,Malpighiales,Angiosperms,1,1,1,1,0.71,0.71,0.68,0.7
Homalium stipulaceum,Homalium,stipulaceum,Salicaceae,Malpighiales,Angiosperms,4,2,3,3,0.69,0.69,0.67,0.67
Homalium thuarsianum,Homalium,thuarsianum,Salicaceae,Malpighiales,Angiosperms,1,1,1,1,0.72,0.73,0.69,0.75
Homalium tomentosum,Homalium,tomentosum,Salicaceae,Malpighiales,Angiosperms,6,4,4,6,0.78,0.78,0.71,0.79
Hopea acuminata,Hopea,acuminata,Dipterocarpaceae,Malvales,Angiosperms,3,3,3,3,0.64,0.64,0.63,0.61
Hopea cagayanensis,Hopea,cagayanensis,Dipterocarpaceae,Malvales,Angiosperms,2,2,2,2,0.73,0.73,0.67,0.72
Hopea dryobalanoides,Hopea,dryobalanoides,Dipterocarpaceae,Malvales,Angiosperms,6,5,3,5,0.62,0.62,0.62,0.59
Hopea ferrea,Hopea,ferrea,Dipterocarpaceae,Malvales,Angiosperms,3,2,3,3,0.82,0.83,0.71,0.85
Hopea foxworthyi,Hopea,foxworthyi,Dipterocarpaceae,Malvales,Angiosperms,3,3,3,3,0.63,0.63,0.62,0.6
Hopea griffithii,Hopea,griffithii,Dipterocarpaceae,Malvales,Angiosperms,4,3,2,3,0.76,0.76,0.68,0.74
Hopea hainanensis,Hopea,hainanensis,Dipterocarpaceae,Malvales,Angiosperms,5,3,3,4,0.85,0.85,0.72,0.85
Hopea helferi,Hopea,helferi,Dipterocarpaceae,Malvales,Angiosperms,7,4,6,6,0.73,0.73,0.67,0.73
Hopea mengarawan,Hopea,mengarawan,Dipterocarpaceae,Malvales,Angiosperms,5,4,3,4,0.62,0.62,0.62,0.58
Hopea parviflora,Hopea,parviflora,Dipterocarpaceae,Malvales,Angiosperms,4,2,2,2,0.76,0.77,0.68,0.76
Hopea parvifolia,Hopea,parvifolia,Dipterocarpaceae,Malvales,Angiosperms,2,2,1,2,0.77,0.77,0.69,0.74
Hopea pierrei,Hopea,pierrei,Dipterocarpaceae,Malvales,Angiosperms,6,3,3,4,0.72,0.72,0.66,0.71
Hopea plagata,Hopea,plagata,Dipterocarpaceae,Malvales,Angiosperms,4,4,4,4,0.8,0.8,0.7,0.81
Hopea recopei,Hopea,recopei,Dipterocarpaceae,Malvales,Angiosperms,2,2,2,2,0.73,0.74,0.67,0.72
Hoplestigma klaineanum,Hoplestigma,klaineanum,Boraginaceae,Boraginales,Angiosperms,7,1,3,3,0.48,0.48,0.5,0.47
Horsfieldia crassifolia,Horsfieldia,crassifolia,Myristicaceae,Magnoliales,Angiosperms,2,2,2,2,0.5,0.5,0.5,0.5
Horsfieldia glabra,Horsfieldia,glabra,Myristicaceae,Magnoliales,Angiosperms,2,2,2,2,0.49,0.49,0.49,0.48
Horsfieldia irya,Horsfieldia,irya,Myristicaceae,Magnoliales,Angiosperms,7,5,4,5,0.45,0.45,0.47,0.42
Hovenia dulcis,Hovenia,dulcis,Rhamnaceae,Rosales,Angiosperms,13,5,5,7,0.55,0.55,0.57,0.51
Hua gabonii,Hua,gabonii,Huaceae,Oxalidales,Angiosperms,7,2,4,4,0.71,0.72,0.65,0.69
Huberodendron swietenioides,Huberodendron,swietenioides,Malvaceae,Malvales,Angiosperms,4,2,3,3,0.58,0.58,0.55,0.57
Hubertia myricifolia,Hubertia,myricifolia,Asteraceae,Asterales,Angiosperms,2,1,1,1,0.64,0.64,0.59,0.66
Huertea granadina,Huertea,granadina,Tapisciaceae,Huerteales,Angiosperms,1,1,1,1,0.42,0.42,0.48,0.37
Huertea putumayensis,Huertea,putumayensis,Tapisciaceae,Huerteales,Angiosperms,1,1,1,1,0.47,0.47,0.5,0.44
Humbertiodendron saboureaui,Humbertiodendron,saboureaui,Trigoniaceae,Malpighiales,Angiosperms,1,1,1,1,0.89,0.9,0.76,0.98
Humiriastrum excelsum,Humiriastrum,excelsum,Humiriaceae,Malpighiales,Angiosperms,3,2,3,3,0.74,0.74,0.66,0.76
Humiriastrum subcrenatum,Humiriastrum,subcrenatum,Humiriaceae,Malpighiales,Angiosperms,7,1,1,1,0.73,0.74,0.66,0.76
Hunga gerontogea,Hunga,gerontogea,Chrysobalanaceae,Malpighiales,Angiosperms,1,1,1,1,0.75,0.75,0.69,0.77
Hunteria umbellata,Hunteria,umbellata,Apocynaceae,Gentianales,Angiosperms,9,2,6,6,0.74,0.74,0.65,0.73
Huodendron biaristatum,Huodendron,biaristatum,Styracaceae,Ericales,Angiosperms,3,2,1,2,0.59,0.59,0.55,0.59
Hura polyandra,Hura,polyandra,Euphorbiaceae,Malpighiales,Angiosperms,2,2,2,2,0.38,0.39,0.43,0.38
Pombalia prunifolia,Pombalia,prunifolia,Violaceae,Malpighiales,Angiosperms,8,2,2,2,0.61,0.61,0.58,0.6
Hydrochorea corymbosa,Hydrochorea,corymbosa,Fabaceae,Fabales,Angiosperms,6,2,2,3,0.49,0.49,0.52,0.49
Hydrochorea gonggrijpii,Hydrochorea,gonggrijpii,Fabaceae,Fabales,Angiosperms,2,1,2,2,0.54,0.55,0.54,0.56
Hymenaea martiana,Hymenaea,martiana,Fabaceae,Fabales,Angiosperms,4,4,3,4,0.7,0.74,0.61,0.69
Hymenaea verrucosa,Hymenaea,verrucosa,Fabaceae,Fabales,Angiosperms,4,2,2,2,0.73,0.73,0.64,0.73
Hymenocardia acida,Hymenocardia,acida,Phyllanthaceae,Malpighiales,Angiosperms,6,3,4,4,0.67,0.67,0.63,0.66
Hymenocardia ulmoides,Hymenocardia,ulmoides,Phyllanthaceae,Malpighiales,Angiosperms,9,2,4,5,0.7,0.7,0.64,0.68
Hymenodictyon glabrum,Hymenodictyon,glabrum,Rubiaceae,Gentianales,Angiosperms,1,1,1,1,0.41,0.41,0.46,0.39
Hymenodictyon occidentale,Hymenodictyon,occidentale,Rubiaceae,Gentianales,Angiosperms,2,1,1,1,0.41,0.41,0.46,0.41
Hymenodictyon orixense,Hymenodictyon,orixense,Rubiaceae,Gentianales,Angiosperms,9,6,4,8,0.42,0.42,0.47,0.42
